X	Y
2.62	1.04
2.69	1.01
2.82	0.99
2.87	0.97
2.88	0.94
2.85	0.9
2.86	0.87
2.98	0.83
3.06	0.81
3.12	0.81
3.17	0.83
3.36	0.95
3.58	0.85
3.53	0.84
3.51	0.84
3.46	0.81
3.38	0.73
3.37	0.65
3.43	0.55
3.43	0.53
3.39	0.5
3.3	0.48
3.27	0.48
3.23	0.49
3.22	0.55
3.13	0.54
3.07	0.53
3.03	0.5
3.02	0.44
3.1	0.36
3.1	0.28
3.16	0.23
3.16	0.22
3.1	0.2
3.05	0.2
3.02	0.24
2.93	0.27
2.91	0.32
2.84	0.35
2.79	0.35
2.69	0.28
2.64	0.25
2.52	0.25
2.45	0.31
2.29	0.31
2.24	0.29
2.22	0.21
2.11	0.12
1.93	-0.1
1.94	-0.12
2.01	-0.16
2.02	-0.18
2.01	-0.21
1.98	-0.23
1.89	-0.24
1.82	-0.22
1.82	-0.18
1.86	-0.11
1.83	-0.04
1.76	0.05
1.64	0.08
1.49	0.14
1.42	0.21
1.42	0.43
1.34	0.44
1.31	0.43
1.29	0.39
1.27	0.31
1.08	0.06
0.97	-0.01
0.92	-0.05
0.75	-0.1
0.68	-0.1
0.57	-0.07
0.53	-0.06
0.38	-0.12
0.21	-0.13
0.1	-0.17
0	-0.17
-0.07	-0.15
-0.07	-0.13
-0.06	-0.1
-0.09	-0.07
-0.12	0.02
-0.14	0.06
-0.16	0.07
-0.22	0.06
-0.23	0.06
-0.25	0.08
-0.26	0.11
-0.19	0.23
-0.27	0.36
-0.3	0.39
-0.38	0.41
-0.46	0.4
-0.7	0.35
-0.75	0.32
-0.76	0.26
-0.8	0.23
-0.87	0.2
-0.9	0.15
-0.94	0.11
-1	0.09
-1.01	0.07
-1.1	0.11
-1.12	0.13
-0.97	0.27
-0.95	0.31
-0.94	0.5
-0.9	0.56
-0.76	0.65
-0.66	0.74
-0.62	0.9
-0.58	0.92
-0.43	0.97
-0.32	1.08
-0.07	1.24
-0.03	1.28
-0.02	1.31
-0.02	1.34
-0.04	1.34
-0.14	1.33
-0.17	1.33
-0.18	1.33
-0.19	1.34
-0.16	1.38
-0.02	1.47
0.03	1.48
0.11	1.48
0.26	1.41
0.36	1.41
0.45	1.44
0.44	1.56
0.52	1.59
0.53	1.59
0.56	1.57
0.63	1.54
0.69	1.54
0.89	1.53
0.96	1.54
1.12	1.57
1.23	1.57
1.36	1.53
1.41	1.53
1.46	1.54
1.53	1.58
1.53	1.63
1.56	1.67
1.61	1.69
1.67	1.69
1.76	1.63
1.79	1.63
1.84	1.63
1.94	1.66
1.94	1.67
1.96	1.68
1.98	1.68
2.02	1.68
2.12	1.66
2.13	1.65
2.14	1.66
2.17	1.65
2.48	1.52
2.54	1.44
2.55	1.37
2.5	1.3
2.5	1.21
2.47	1.18
2.44	1.17
2.43	1.14
2.42	1.1
2.42	1.05
2.44	1.02
2.46	1
2.51	1
2.56	1
2.61	1.02
2.62	1.04
