Alter	Grösse	Gewicht	Anzahl CDs	Distanz von HLS [min]	Distanz von HLS [km]
22	175	60	150	5	0.2
22	173	64	15	2	0.4
22	182	75	70	3	0.5
20	175	73	40	10	1
24	176	73	180	7	1
28	172	52	100	10	2
21	183	73	50	20	3
27	176	77	40	20	4
18	180	95	50	30	5
19	196	87	25	45	5
20	176	88	60	12	5
22	175	72	50	32	5
23	168	70	100	18	5
27	172	66	70	18	5
19	184	84	10	30	6
19	169	70	200	25	6
21	185	80	100	25	6
22	170	65	50	12	6
22	180	65	30	20	6
18	181	73	100	15	7
20	182	79	10	15	7
23	175	84	95	25	7
26	185	87	8	35	7
35	184	75	30	50	7
25	178	90	50	25	8
21	190	66	100	40	10
22	185	74	200	10	10
23	177	64	200	40	10
24	182	77	100	25	10
24	152	58	20	45	10
25	192	82	200	35	10
28	164	53	200	25	10
22	169	63	40	20	13
20	170	70	200	45	15
29	169	54	100	35	15
24	170	108	50	30	16
19	186	74	120	30	17
19	170	61	50	30	18
19	170	52	100	30	20
20	187	72	60	50	20
21	177	65	80	40	20
39	173	86	300	25	20
26	171	64	40	70	23
23	180	63	5	20	28
20	186	70	40	50	30
21	174	72	100	20	30
21	176	78	70	45	35
21	166	53	60	45	40
23	165	62	110	40	40
18	177	73	150	75	50
21	170	69	30	120	60
18	172	70	150	120	80
20	179	67	20	70	80
42	180	72	600	140	90
