Monat	Temperatur
1	-5.5
2	-0.2
3	6
4	8.2
5	13.1
6	15.3
7	17.4
8	16.1
9	13.2
10	7.1
11	3.9
12	-2.2
13	1.3
14	-1
15	0.7
16	12.9
17	15.9
18	16.2
19	19.4
20	16.4
21	15.3
22	9.8
23	5.4
24	-1.1
25	3
26	5.2
27	4.7
28	10.1
29	10.8
30	18.2
31	17.7
32	15.6
33	14.4
34	9
35	4.9
36	3.3
37	-0.2
38	5.7
39	4.9
40	10
41	13.6
42	16.1
43	16.8
44	18
45	14.9
46	7.6
47	2.2
48	-0.6
49	-1.5
50	3
51	4.2
52	8.7
53	17.9
54	17.8
55	19.1
56	18.1
57	16
58	9.3
59	2
60	7.1
61	0.1
62	5.9
63	1.9
64	10.8
65	14.1
66	13.9
67	19.7
68	15.8
69	14.7
70	6.8
71	4.8
72	-0.3
73	-0.1
74	-2
75	3.5
76	9.2
77	14.3
78	17.3
79	20.3
80	15.5
81	12.2
82	9.3
83	4.9
84	-3.8
85	-4.4
86	2.4
87	5.5
88	9.9
89	11.9
90	13.4
91	18.4
92	18.1
93	15.6
94	6.9
95	1
96	-5.7
97	1.5
98	2.8
99	6.1
100	9.7
101	12.2
102	15.9
103	19.1
104	16
105	14.4
106	9.2
107	7.2
108	4
109	1.9
110	1.4
111	7.1
112	8
113	11.2
114	16.5
115	19.6
116	19
117	13.2
118	9.9
119	4.8
120	0.2
121	1
122	1
123	4.5
124	11.1
125	10.3
126	16.7
127	20.5
128	15.6
129	14.9
130	9.3
131	2.2
132	-0.3
133	3.2
134	-2
135	3.3
136	8.8
137	15
138	17.1
139	16.4
140	18.8
141	15.2
142	8
143	4.3
144	-2.1
145	-2.8
146	2.9
147	5.6
148	9.3
149	10.4
150	16.1
151	19.2
152	18.8
153	12.7
154	11.5
155	3.5
156	4.8
157	3.9
158	4.8
159	3.4
160	8.5
161	10.5
162	19.2
163	17.3
164	18.3
165	11.5
166	7.2
167	6.8
168	2
169	-1.2
170	2.2
171	4.2
172	9.5
173	14.1
174	15.6
175	17
176	17.2
177	14.4
178	9.8
179	3.1
180	-1.5
181	-0.1
182	2.7
183	4.6
184	6.9
185	9.2
186	16.5
187	15.2
188	18.6
189	14.3
190	7.5
191	1.2
192	-9.5
193	-4.1
194	2.2
195	7.5
196	9.3
197	12
198	14.8
199	18.5
200	16.6
201	14.4
202	8.8
203	5.1
204	6.5
205	-3.6
206	2.9
207	6.4
208	7.8
209	12.1
210	15.9
211	20.7
212	17.5
213	12.5
214	5.1
215	6.5
216	1.3
217	-0.4
218	1.5
219	6.9
220	9.1
221	13.4
222	15.4
223	16.1
224	15.7
225	12.3
226	9.9
227	5.8
228	2.7
229	1.2
230	4.2
231	1.7
232	8.3
233	13.5
234	15.5
235	16.3
236	16.5
237	13.2
238	8.5
239	5.4
240	1
241	3.3
242	3.5
243	6.3
244	7.4
245	13.9
246	13.6
247	19.1
248	18.1
249	13.9
250	8.4
251	3
252	1.8
253	-2.8
254	4.9
255	4.1
256	9.7
257	10.6
258	17.8
259	18.6
260	16.3
261	13
262	7.3
263	4.9
264	-0.2
265	-0.5
266	-1.4
267	3.4
268	10
269	12.9
270	14.3
271	18
272	17.2
273	15.8
274	10.1
275	5.3
276	1.7
277	-2.6
278	-0.8
279	1.7
280	8.3
281	10.3
282	17.1
283	19.8
284	16.9
285	12
286	4.8
287	3.4
288	-0.4
289	-1.8
290	-1.5
291	3.6
292	6.6
293	13.8
294	16.3
295	15.6
296	15.9
297	13.8
298	5.9
299	5.3
300	-0.3
301	-1.6
302	-0.8
303	2.1
304	7.7
305	14.6
306	17.7
307	17.1
308	16.3
309	12.1
310	8.3
311	3.5
312	-1.9
313	2.8
314	-1.7
315	4.8
316	8.1
317	13.8
318	14.9
319	16.1
320	16.6
321	13
322	6.5
323	4
324	-4.6
325	-4.8
326	-1
327	4.1
328	6.8
329	12.5
330	15.7
331	16.6
332	16
333	14.2
334	10.3
335	3.3
336	2.5
337	-0.3
338	2.1
339	2.1
340	9.1
341	13.4
342	16.4
343	17
344	18.5
345	14.5
346	8.1
347	6.6
348	-1.2
349	-5.9
350	3.6
351	6.2
352	11.9
353	13.2
354	16.7
355	18
356	18.9
357	14
358	10.2
359	3.6
360	0.4
361	-1.1
362	2.6
363	5.7
364	10.7
365	11.6
366	15.3
367	18.3
368	16.6
369	11.8
370	8.8
371	5.1
372	0.3
373	-3.8
374	-7.4
375	2.9
376	9.9
377	12.9
378	16.3
379	18.4
380	17.5
381	16.9
382	8
383	7.3
384	2.4
385	-0.9
386	-0.6
387	7.5
388	6.8
389	11.4
390	16.6
391	18.2
392	14.8
393	13.4
394	8
395	2.2
396	1.1
397	-1.1
398	4.9
399	7.7
400	8.8
401	11.4
402	18.2
403	18.2
404	17.2
405	12.9
406	8
407	3.5
408	1.2
409	1.6
410	1.8
411	3.7
412	9
413	11.8
414	15.1
415	16.4
416	19.2
417	14.9
418	10.8
419	5.8
420	2.2
421	3.6
422	3.3
423	4.2
424	8.3
425	11.9
426	16.1
427	17.8
428	18.6
429	13.7
430	8.9
431	5
432	-1.6
433	2.7
434	3.8
435	1.8
436	8.6
437	11.7
438	17
439	19.6
440	16.1
441	15
442	9.3
443	5.3
444	3.4
445	-1.6
446	-3.6
447	3.3
448	9.3
449	13.6
450	16.5
451	18.6
452	16.1
453	14
454	8.8
455	2.3
456	2.2
457	1.9
458	0.8
459	5.4
460	10.7
461	9.4
462	15.4
463	18.1
464	16.3
465	13.2
466	8.1
467	3
468	-0.2
469	0.4
470	3.6
471	6.7
472	5.7
473	12.8
474	14.5
475	16.6
476	16.8
477	14.2
478	10.3
479	5.1
480	0.3
481	-0.7
482	2.9
483	4.4
484	10.3
485	14
486	16.6
487	20.8
488	18.3
489	12.3
490	9
491	3.1
492	2.3
493	-1.9
494	1.7
495	6.4
496	8.7
497	11.6
498	16.9
499	20.5
500	17.4
501	13.6
502	4.5
503	4
504	1.3
505	1.9
506	0.9
507	4
508	8.4
509	13.1
510	15
511	18.3
512	18.4
513	13.4
514	11
515	5.4
516	-1.1
517	-0.5
518	-1
519	4.1
520	7.6
521	13.5
522	15.4
523	15.5
524	17.4
525	14.3
526	10.2
527	5.2
528	3.2
529	-2.7
530	1.2
531	3.7
532	6.6
533	14.2
534	18
535	17.6
536	15.2
537	12.8
538	8.2
539	2.8
540	1
541	-1.8
542	-1.1
543	3.2
544	10.1
545	12.5
546	14.2
547	15.3
548	16.9
549	12.8
550	10.4
551	2.7
552	3.5
553	1.6
554	3
555	5
556	8.1
557	11.8
558	16.1
559	15.9
560	16.6
561	11.9
562	10.1
563	4.2
564	3.5
565	-2.8
566	1.8
567	5
568	7.7
569	13.2
570	15.5
571	20.7
572	21.1
573	16
574	9.3
575	5.7
576	4.4
577	1.7
578	4.6
579	7.9
580	8.1
581	13.9
582	15.9
583	17.4
584	14.1
585	9.1
586	7.8
587	2.6
588	2.6
589	2.3
590	1.8
591	6.9
592	8.4
593	12.8
594	15.7
595	15
596	16
597	13.1
598	10.5
599	7.8
600	1.8
601	-3.3
602	3.2
603	6.5
604	11.3
605	11
606	14.5
607	16.6
608	17
609	13.1
610	8.6
611	3.7
612	4.3
613	1.6
614	2.2
615	3.7
616	7.7
617	14.7
618	18
619	17.1
620	16.2
621	12.3
622	7
623	2.3
624	6.2
625	4.7
626	3
627	5.5
628	9.1
629	13.8
630	13.4
631	16.7
632	17
633	12.1
634	9.3
635	5
636	2.8
637	-0.9
638	-1.8
639	2.2
640	6.1
641	16.1
642	18.2
643	17.7
644	16.5
645	15.7
646	7.7
647	4.9
648	-3.1
649	0.7
650	2
651	4.8
652	8.5
653	14.8
654	14
655	17.9
656	17.3
657	14
658	7.2
659	4
660	4.8
661	1.1
662	0.7
663	4.6
664	6
665	13.5
666	16.7
667	14.9
668	19.3
669	15.9
670	5.7
671	3.1
672	3.1
673	3.7
674	3.2
675	6.8
676	9.7
677	15.1
678	15.9
679	17.6
680	15.6
681	13.8
682	8.2
683	1.6
684	1.1
685	5
686	1.6
687	6
688	8.1
689	14
690	16.5
691	21.1
692	17.6
693	15
694	11.7
695	1.4
696	1.3
697	0.2
698	0.8
699	4.9
700	7
701	15.1
702	16.5
703	16.5
704	16.3
705	11.9
706	6.5
707	3.3
708	2.5
709	1.2
710	4.7
711	5.8
712	8.8
713	12.6
714	12.4
715	20.4
716	18
717	13.6
718	11.6
719	3.7
720	1.3
721	-0.6
722	-0.7
723	4.6
724	8.8
725	14.2
726	15.8
727	17.7
728	14.5
729	14.1
730	9.9
731	4.1
732	0.9
733	2.4
734	4.2
735	2
736	9.1
737	13.5
738	16.9
739	17.5
740	17
741	11.5
742	9.4
743	2.7
744	2.2
745	1.3
746	6.5
747	5.6
748	10.6
749	11.3
750	14
751	17.6
752	17.5
753	16
754	9.5
755	6.6
756	0.1
757	2
758	2
759	6.6
760	9.6
761	13.4
762	16
763	18.1
764	16.6
765	14.3
766	8.8
767	4.5
768	0.5
769	3.1
770	3.6
771	5.1
772	9.2
773	11.2
774	16.2
775	21
776	18.4
777	13.8
778	9.2
779	6.5
780	1.4
781	-3.2
782	-5.8
783	4.5
784	6.6
785	13.9
786	16.6
787	18.9
788	17.5
789	17
790	10.3
791	5.3
792	5.1
793	3.1
794	1.4
795	6.3
796	9.6
797	11.8
798	18.7
799	16.5
800	16.9
801	14.4
802	9.8
803	7.1
804	2
805	1.4
806	0.4
807	2
808	8
809	15.4
810	18.2
811	16.9
812	15.7
813	9.7
814	8
815	5.8
816	0.1
817	1.7
818	-2.7
819	2.7
820	7.8
821	11.9
822	15.2
823	17.3
824	19.9
825	16.4
826	9.5
827	5.3
828	1.3
829	-1
830	1.9
831	6.4
832	9.3
833	12
834	13.9
835	18.9
836	18.9
837	15
838	9.8
839	3.4
840	-3.4
841	1
842	0
843	5
844	11.5
845	14.9
846	17
847	18.9
848	16.5
849	15.9
850	9.5
851	2.8
852	5.7
853	-0.5
854	3.5
855	4.4
856	8.6
857	11.5
858	18.1
859	19.4
860	17.2
861	14.8
862	9.1
863	5.7
864	0.9
865	5.2
866	2.3
867	6.9
868	7.9
869	13.5
870	15.9
871	17.1
872	16.9
873	14.4
874	6.6
875	5
876	2.6
877	2.7
878	5
879	4.7
880	9
881	15.2
882	17.1
883	18.3
884	17.8
885	13.8
886	9.1
887	4.1
888	0.7
889	2.7
890	1.7
891	8.3
892	6
893	11.5
894	17.1
895	17.4
896	17.2
897	14.7
898	8.5
899	7.5
900	-1.3
901	3.6
902	2.4
903	3.1
904	10
905	10.3
906	16.8
907	16.7
908	17.5
909	13.2
910	8.2
911	7.3
912	0.1
913	-6.1
914	0.9
915	5.5
916	9.7
917	13.2
918	16.3
919	16.7
920	15.8
921	14.1
922	8.6
923	6.1
924	-2.9
925	-3.5
926	2.4
927	6
928	7.5
929	9.6
930	16.7
931	19
932	16.1
933	13
934	8.7
935	3.9
936	1.7
937	-5.4
938	-3.6
939	5.7
940	10.1
941	13.2
942	16.4
943	17.4
944	17.9
945	16.1
946	12.2
947	3.3
948	2.2
949	1.8
950	3.7
951	7
952	10.8
953	14.2
954	15.4
955	18.6
956	19.5
957	14.8
958	11.2
959	3.6
960	1.5
961	3
962	-0.5
963	2.8
964	10.9
965	13.1
966	15.2
967	18
968	20.8
969	13.6
970	8.4
971	5.2
972	1
973	-4.7
974	5.2
975	7.7
976	11
977	15.6
978	18.4
979	19.7
980	17.1
981	15.2
982	9.3
983	3.3
984	2.3
985	-0.9
986	4.8
987	6.1
988	11.1
989	14.1
990	15.6
991	19.1
992	17.2
993	14.8
994	8.3
995	4.7
996	-0.8
997	-2
998	-1.9
999	6.2
1000	12.2
1001	15.1
1002	19.1
1003	20.7
1004	20.9
1005	17
1006	9.5
1007	6.8
1008	2.8
1009	5.3
1010	2.6
1011	8.3
1012	10.2
1013	14.4
1014	16
1015	15.7
1016	17.2
1017	13.9
1018	9.7
1019	4.6
1020	1.3
1021	1.1
1022	2.4
1023	4.1
1024	12.5
1025	11.9
1026	16.3
1027	19.9
1028	19.1
1029	18
1030	11.3
1031	4.4
1032	4.2
1033	0.8
1034	5.2
1035	6.4
1036	7.3
1037	14.7
1038	19.1
1039	20.7
1040	18.2
1041	13.9
1042	9
1043	5.7
1044	-1.1
1045	2.9
1046	3.8
1047	4.9
1048	9.1
1049	12.1
1050	15.9
1051	17.9
1052	17
1053	15.1
1054	8.3
1055	6.9
1056	1.8
1057	1
1058	0.1
1059	6.9
1060	11
1061	14.3
1062	17.8
1063	21.3
1064	19.3
1065	11.5
1066	8.5
1067	3.8
1068	1.3
1069	-1.8
1070	1.1
1071	6.3
1072	10.5
1073	14.9
1074	15.5
1075	18.2
1076	17.9
1077	14.9
1078	10.6
1079	4
1080	3.2
1081	-1.3
1082	-0.8
1083	6.6
1084	7.1
1085	12.5
1086	16.5
1087	16
1088	16.1
1089	14.7
1090	10
1091	5.9
1092	4.3
1093	1.3
1094	2
1095	3.5
1096	9.3
1097	12.1
1098	16.1
1099	18.1
1100	16.9
1101	13.9
1102	7.8
1103	3.6
1104	4.9
1105	2.9
1106	-9
1107	5.1
1108	7.3
1109	13.4
1110	14
1111	17.1
1112	15.2
1113	14.9
1114	8.3
1115	2.9
1116	2.4
1117	-0.3
1118	5.6
1119	9.2
1120	9.1
1121	10.8
1122	16.8
1123	18.3
1124	16.1
1125	13.6
1126	8.8
1127	4.4
1128	1
1129	1.5
1130	5
1131	2.5
1132	6.5
1133	15
1134	15.6
1135	18.3
1136	18.2
1137	16
1138	9.2
1139	4.5
1140	3.4
1141	1.4
1142	1.9
1143	8.1
1144	10
1145	14
1146	16.8
1147	20.4
1148	17.5
1149	15.3
1150	9.3
1151	3.8
1152	4
1153	0.5
1154	3.2
1155	7.1
1156	8.8
1157	14.4
1158	17.5
1159	16
1160	16.9
1161	12.5
1162	9.3
1163	7.2
1164	1.6
1165	1.6
1166	6.4
1167	7.3
1168	11.8
1169	12.1
1170	16.8
1171	17.1
1172	17
1173	18.1
1174	11.1
1175	4.1
1176	2.3
1177	2.8
1178	1.5
1179	2.6
1180	9.4
1181	11.5
1182	16.1
1183	17.2
1184	18.8
1185	14.4
1186	9.1
1187	2.4
1188	-2.2
1189	-5.5
1190	-3.8
1191	5
1192	10.6
1193	12.6
1194	16.3
1195	19.1
1196	16.4
1197	15.3
1198	9.4
1199	8.8
1200	-1.7
1201	-1.5
1202	3.7
1203	3.8
1204	10.7
1205	15.2
1206	17.5
1207	20.2
1208	17.4
1209	15.2
1210	8.7
1211	6.1
1212	0.8
1213	2.5
1214	-0.7
1215	5.6
1216	8.3
1217	12.6
1218	16.8
1219	16.6
1220	16.7
1221	12.9
1222	9.2
1223	4.4
1224	4.9
1225	-1.6
1226	6.8
1227	4.8
1228	11
1229	14
1230	17.5
1231	16.3
1232	16.1
1233	15.1
1234	12.2
1235	2.4
1236	3.6
1237	1.7
1238	4
1239	6.9
1240	8.1
1241	13.1
1242	15.5
1243	19.8
1244	17.3
1245	14.4
1246	12.3
1247	4.6
1248	-0.3
1249	0.6
1250	2.8
1251	6.2
1252	10
1253	11.8
1254	16.2
1255	17.6
1256	16.3
1257	13.8
1258	11.6
1259	4.4
1260	0.5
1261	2.1
1262	0.1
1263	4.7
1264	8.4
1265	14
1266	14.4
1267	19.1
1268	16.8
1269	14.9
1270	10
1271	5.9
1272	-2.6
1273	0.7
1274	2.4
1275	3.3
1276	7.3
1277	12.5
1278	17.7
1279	17.7
1280	18
1281	14.8
1282	9.1
1283	6.9
1284	0.2
1285	-1.1
1286	1.7
1287	2.1
1288	11.5
1289	14.7
1290	14.9
1291	19.6
1292	18.8
1293	13.5
1294	10.2
1295	3.7
1296	2.5
1297	0.5
1298	3.7
1299	7.2
1300	8.6
1301	12.2
1302	15
1303	17.7
1304	16.8
1305	11.5
1306	7.9
1307	5.5
1308	-0.2
1309	-0.4
1310	1.5
1311	4.6
1312	6.6
1313	14.2
1314	16.9
1315	17.8
1316	19.2
1317	15.5
1318	8.4
1319	4.6
1320	1
1321	4.7
1322	4.6
1323	7.7
1324	9.1
1325	12.3
1326	15
1327	17.5
1328	18.5
1329	14.3
1330	5.4
1331	5.3
1332	5.6
1333	4.8
1334	2.9
1335	4.5
1336	9
1337	12.5
1338	15.1
1339	18.6
1340	18.7
1341	16.3
1342	8.2
1343	5
1344	0.2
1345	2.6
1346	2.7
1347	4.4
1348	8.7
1349	14.4
1350	19.3
1351	20.4
1352	17
1353	13.6
1354	10.9
1355	5.5
1356	0.4
1357	1.6
1358	6.1
1359	8.5
1360	7.4
1361	12.5
1362	15.7
1363	17.7
1364	16.6
1365	13.1
1366	11.1
1367	6
1368	2.5
1369	1.8
1370	1.2
1371	6.6
1372	8.2
1373	12
1374	15.5
1375	17.3
1376	16.1
1377	13.8
1378	9.1
1379	3.7
1380	3
1381	-2.2
1382	2.4
1383	6.4
1384	7.8
1385	12.7
1386	16.8
1387	18
1388	16.2
1389	14.6
1390	11
1391	5.1
1392	4.8
1393	0.1
1394	4.5
1395	5.8
1396	7.6
1397	11.5
1398	15
1399	16
1400	18.5
1401	15.8
1402	8.9
1403	3.1
1404	0.5
1405	-0.4
1406	0.4
1407	8.8
1408	10.3
1409	13.1
1410	16.1
1411	17.3
1412	18
1413	15.1
1414	9.9
1415	5.2
1416	1.9
1417	0.6
1418	2
1419	5.6
1420	8.5
1421	13.7
1422	17.6
1423	19.9
1424	17.6
1425	16.9
1426	10.5
1427	6.5
1428	4
1429	4.1
1430	0.4
1431	6.4
1432	10
1433	11.4
1434	17.8
1435	22.5
1436	19.3
1437	15.3
1438	10.2
1439	3.9
1440	1.8
1441	2.4
1442	1.5
1443	4
1444	8.5
1445	10.6
1446	15.9
1447	18.7
1448	18
1449	13.9
1450	10.9
1451	6.8
1452	2.4
1453	-4.7
1454	0.1
1455	4.7
1456	9.8
1457	13.1
1458	15.3
1459	19.8
1460	18.2
1461	16
1462	10.1
1463	2.1
1464	4
1465	2.3
1466	-5
1467	4.3
1468	7.1
1469	15
1470	17.1
1471	18.7
1472	18.1
1473	14.1
1474	11.7
1475	6.2
1476	2.8
1477	-3.7
1478	2.2
1479	3.1
1480	10.8
1481	10.7
1482	15.3
1483	18.8
1484	18.2
1485	17.4
1486	11.4
1487	6.2
1488	3.2
1489	5.2
1490	3.3
1491	5.2
1492	10.2
1493	14.7
1494	16.3
1495	18.5
1496	18.8
1497	14.9
1498	11.3
1499	3.9
1500	4.1
1501	2.2
1502	4
1503	9.3
1504	8.1
1505	15.4
1506	16.4
1507	19.6
1508	18.9
1509	15.1
1510	11.5
1511	3.6
1512	3.2
1513	2.1
1514	7.8
1515	8.4
1516	8.3
1517	15.6
1518	16.3
1519	18.9
1520	19.6
1521	14.2
1522	12.3
1523	5.6
1524	1.6
1525	2.4
1526	-0.3
1527	8.3
1528	8.8
1529	11.1
1530	15.8
1531	20.7
1532	20.3
1533	17
1534	9.6
1535	5.4
1536	0.6
1537	0.2
1538	3.1
1539	7.1
1540	9.7
1541	15.8
1542	16.8
1543	20
1544	21.4
1545	15.5
1546	8.6
1547	7.7
1548	2.2
1549	4.4
1550	0.7
1551	5.6
1552	11.8
1553	15.1
1554	17.8
1555	18.3
1556	18.4
1557	13.7
1558	8.8
1559	2.3
1560	5.5
1561	3.8
1562	3.3
1563	10.3
1564	8.4
1565	13.9
1566	17.9
1567	22.4
1568	20.1
1569	14.6
1570	10.1
1571	8.8
1572	4.9
1573	1.7
1574	6.5
1575	5.2
1576	10
1577	13.8
1578	15.6
1579	21.6
1580	18.7
1581	13.1
1582	13.9
1583	4.8
1584	1
1585	1
1586	0.8
1587	4.4
1588	10.7
1589	12.8
1590	18
1591	18.2
1592	17.9
1593	12.1
1594	10.6
1595	5.8
1596	0.1
1597	-1.6
1598	5.8
1599	8.9
1600	9.2
1601	14.5
1602	17
1603	18
1604	20.9
1605	15.8
1606	9.9
1607	5.7
1608	3.5
1609	3.5
1610	4.6
1611	7.1
1612	9.7
1613	15.5
1614	18.1
1615	19.2
1616	18.9
1617	14.6
1618	10.9
1619	3
1620	2.2
1621	3.3
1622	1.2
1623	7.2
1624	10.1
1625	15.9
1626	16.4
1627	19.9
1628	19
1629	17.5
1630	10.5
1631	3.4
1632	3.4
1633	1.7
1634	5.4
1635	7.3
1636	11
1637	15.9
1638	18.6
1639	17
1640	19.8
1641	16.2
1642	11.5
1643	7.3
1644	5.2
1645	3.1
1646	4.4
1647	8.1
1648	8.1
1649	15.7
1650	16.2
1651	19.7
1652	20.3
1653	12.7
1654	14.2
1655	3.7
1656	0.9
1657	1.4
1658	6.9
1659	8.2
1660	10.1
1661	13.5
1662	19.5
1663	18.8
1664	18.5
1665	13.8
1666	10.8
1667	7.9
1668	5.1
1669	1.2
1670	0.2
1671	8.7
1672	10.7
1673	15.3
1674	23.3
1675	21.3
1676	23.8
1677	15.5
1678	7.8
1679	6.6
1680	2.4
1681	2.3
1682	3
1683	5.7
1684	10.6
1685	13.2
1686	17.7
1687	19.4
1688	19.8
1689	16.4
1690	12.3
1691	5.2
1692	1.3
1693	1.8
1694	0.6
1695	6.6
1696	10.5
1697	14.6
1698	19.3
1699	19.3
1700	17.4
1701	16.4
1702	12.5
1703	4.8
1704	0.8
